FID,gemeindeschluessel,strassenschluessel,strasse
strassennamen.fid-25a4c101_1886049a808_-2ee,5334002,1001,Abteiplatz
strassennamen.fid-25a4c101_1886049a808_-2ed,5334002,1002,Abteistraße
strassennamen.fid-25a4c101_1886049a808_-2ec,5334002,1004,Achterstraße
strassennamen.fid-25a4c101_1886049a808_-2eb,5334002,1005,Adalbert-Stifter-Straße
strassennamen.fid-25a4c101_1886049a808_-2ea,5334002,1006,Adalbertsberg
strassennamen.fid-25a4c101_1886049a808_-2e9,5334002,1008,Adalbertstift
strassennamen.fid-25a4c101_1886049a808_-2e8,5334002,1009,Adalbertstraße
strassennamen.fid-25a4c101_1886049a808_-2e7,5334002,1011,Adlerberg
strassennamen.fid-25a4c101_1886049a808_-2e6,5334002,1012,Nelly-Sachs-Straße
strassennamen.fid-25a4c101_1886049a808_-2e5,5334002,1013,Ahornstraße
strassennamen.fid-25a4c101_1886049a808_-2e4,5334002,1014,Albert-Maas-Straße
strassennamen.fid-25a4c101_1886049a808_-2e3,5334002,1015,Alexanderstraße
strassennamen.fid-25a4c101_1886049a808_-2e2,5334002,1016,Alexianergraben
strassennamen.fid-25a4c101_1886049a808_-2e1,5334002,1017,Alfonsstraße
strassennamen.fid-25a4c101_1886049a808_-2e0,5334002,1018,Alkuinstraße
strassennamen.fid-25a4c101_1886049a808_-2df,5334002,1019,Alsenstraße
strassennamen.fid-25a4c101_1886049a808_-2de,5334002,1020,Altdorfstraße
strassennamen.fid-25a4c101_1886049a808_-2dd,5334002,1023,Altstraße
strassennamen.fid-25a4c101_1886049a808_-2dc,5334002,1024,Altenberger Straße
strassennamen.fid-25a4c101_1886049a808_-2db,5334002,1025,Am Backes
strassennamen.fid-25a4c101_1886049a808_-2da,5334002,1026,Am Beverbach
strassennamen.fid-25a4c101_1886049a808_-2d9,5334002,1028,Am Blockhaus
strassennamen.fid-25a4c101_1886049a808_-2d8,5334002,1029,Am Branderhof
strassennamen.fid-25a4c101_1886049a808_-2d7,5334002,1030,Ambrosiusstraße
strassennamen.fid-25a4c101_1886049a808_-2d6,5334002,1031,Am Chorusberg
strassennamen.fid-25a4c101_1886049a808_-2d5,5334002,1032,Am Dorbach
strassennamen.fid-25a4c101_1886049a808_-2d4,5334002,1033,Am Friedrich
strassennamen.fid-25a4c101_1886049a808_-2d3,5334002,1034,Am Hangeweiher
strassennamen.fid-25a4c101_1886049a808_-2d2,5334002,1035,Am Hasselholz
strassennamen.fid-25a4c101_1886049a808_-2d1,5334002,1036,Am Höfling
strassennamen.fid-25a4c101_1886049a808_-2d0,5334002,1037,Am Hügel
strassennamen.fid-25a4c101_1886049a808_-2cf,5334002,1038,Karolingerstraße
strassennamen.fid-25a4c101_1886049a808_-2ce,5334002,1039,Elleterweg
strassennamen.fid-25a4c101_1886049a808_-2cd,5334002,1040,Am Kupferofen
strassennamen.fid-25a4c101_1886049a808_-2cc,5334002,1041,Am Lavenstein
strassennamen.fid-25a4c101_1886049a808_-2cb,5334002,1042,Am Neuenhof
strassennamen.fid-25a4c101_1886049a808_-2ca,5334002,1043,Am Pappelweiher
strassennamen.fid-25a4c101_1886049a808_-2c9,5334002,1044,Am Roskapellchen
strassennamen.fid-25a4c101_1886049a808_-2c8,5334002,1045,Am Römerhof
strassennamen.fid-25a4c101_1886049a808_-2c7,5334002,1046,Friedrichweg
strassennamen.fid-25a4c101_1886049a808_-2c6,5334002,1047,Alter Landgraben
strassennamen.fid-25a4c101_1886049a808_-2c5,5334002,1048,Am Viadukt
strassennamen.fid-25a4c101_1886049a808_-2c4,5334002,1049,Am Wassersprung
strassennamen.fid-25a4c101_1886049a808_-2c3,5334002,1050,Am Weberhof
strassennamen.fid-25a4c101_1886049a808_-2c2,5334002,1051,Am Weißenberg
strassennamen.fid-25a4c101_1886049a808_-2c1,5334002,1052,Am Wolf
strassennamen.fid-25a4c101_1886049a808_-2c0,5334002,1054,Am Ziegelweiher
strassennamen.fid-25a4c101_1886049a808_-2bf,5334002,1055,An den Birkenweiden
strassennamen.fid-25a4c101_1886049a808_-2be,5334002,1056,An den Finkenweiden
strassennamen.fid-25a4c101_1886049a808_-2bd,5334002,1057,An den Frauenbrüdern
strassennamen.fid-25a4c101_1886049a808_-2bc,5334002,1058,An den Wurmquellen
strassennamen.fid-25a4c101_1886049a808_-2bb,5334002,1059,An der Ellermühle
strassennamen.fid-25a4c101_1886049a808_-2ba,5334002,1060,Ginsterbrücksweg
strassennamen.fid-25a4c101_1886049a808_-2b9,5334002,1061,An der Junkersmühle
strassennamen.fid-25a4c101_1886049a808_-2b8,5334002,1062,An der Kulprie
strassennamen.fid-25a4c101_1886049a808_-2b7,5334002,1063,An der Schanz
strassennamen.fid-25a4c101_1886049a808_-2b6,5334002,1064,Andréstraße
strassennamen.fid-25a4c101_1886049a808_-2b5,5334002,1065,Am Gut Wolf
strassennamen.fid-25a4c101_1886049a808_-2b4,5334002,1067,Am Adamshäuschen
strassennamen.fid-25a4c101_1886049a808_-2b3,5334002,1068,Annuntiatenbach
strassennamen.fid-25a4c101_1886049a808_-2b2,5334002,1069,An der Kapelle
strassennamen.fid-25a4c101_1886049a808_-2b1,5334002,1070,Am Tivoli
strassennamen.fid-25a4c101_1886049a808_-2b0,5334002,1071,Antoniusstraße
strassennamen.fid-25a4c101_1886049a808_-2af,5334002,1072,Grünweg
strassennamen.fid-25a4c101_1886049a808_-2ae,5334002,1074,Hühnertalweg
strassennamen.fid-25a4c101_1886049a808_-2ad,5334002,1075,Arndtstraße
strassennamen.fid-25a4c101_1886049a808_-2ac,5334002,1076,Karlshof
strassennamen.fid-25a4c101_1886049a808_-2ab,5334002,1077,Arnoldstraße
strassennamen.fid-25a4c101_1886049a808_-2aa,5334002,1078,Karlstreppe
strassennamen.fid-25a4c101_1886049a808_-2a9,5334002,1079,Arthur-Kampf-Straße
strassennamen.fid-25a4c101_1886049a808_-2a8,5334002,1080,Atherstraße
strassennamen.fid-25a4c101_1886049a808_-2a7,5334002,1081,Auf Beverau
strassennamen.fid-25a4c101_1886049a808_-2a6,5334002,1082,Auf dem Plue
strassennamen.fid-25a4c101_1886049a808_-2a5,5334002,1083,Auf der Hörn
strassennamen.fid-25a4c101_1886049a808_-2a4,5334002,1084,Auf der Hüls
strassennamen.fid-25a4c101_1886049a808_-2a3,5334002,1085,Auf Krummerück
strassennamen.fid-25a4c101_1886049a808_-2a2,5334002,1086,Auf Vogelsang
strassennamen.fid-25a4c101_1886049a808_-2a1,5334002,1088,Augustinerbach
strassennamen.fid-25a4c101_1886049a808_-2a0,5334002,1089,Augustinergasse
strassennamen.fid-25a4c101_1886049a808_-29f,5334002,1090,Augustinerplatz
strassennamen.fid-25a4c101_1886049a808_-29e,5334002,1091,Aureliusstraße
strassennamen.fid-25a4c101_1886049a808_-29d,5334002,1092,Aussemstraße
strassennamen.fid-25a4c101_1886049a808_-29c,5334002,1093,Austraße
strassennamen.fid-25a4c101_1886049a808_-29b,5334002,1094,Katzenpützweg
strassennamen.fid-25a4c101_1886049a808_-29a,5334002,1095,Bachstraße
strassennamen.fid-25a4c101_1886049a808_-299,5334002,1096,Bädersteig
strassennamen.fid-25a4c101_1886049a808_-298,5334002,1097,Bärenstraße
strassennamen.fid-25a4c101_1886049a808_-297,5334002,1098,Bahnhofplatz
strassennamen.fid-25a4c101_1886049a808_-296,5334002,1099,Bahnhofstraße
